signal_time,ticker,entry_price,vwap,rvol_prev,rvol,rvol_method,leader_pct,ema,rsi,leader_mom,horizon_min,later_price,change_pct
2026-09-09T14:19:12.117728+00:00,OKLO,43.67,43.5236,0.25,2.74,이동평균,,혼조,47.1,,15,43.49,-0.41
2026-09-09T14:19:12.117728+00:00,OKLO,43.67,43.5236,0.25,2.74,이동평균,,혼조,47.1,,30,43.34,-0.76
2026-09-09T14:19:12.117728+00:00,OKLO,43.67,43.5236,0.25,2.74,이동평균,,혼조,47.1,,60,42.65,-2.34
2026-09-09T19:21:12.176691+00:00,KORU,24.6,24.4967,1.06,17.21,프로파일,1.03,정배열,69.6,0.09,15,24.54,-0.24
2026-09-09T19:33:02.972382+00:00,MU,1027.62,1025.2038,1.18,3.67,이동평균,,정배열,64.5,,15,1027.1403,-0.05
2026-09-09T19:21:12.176691+00:00,KORU,24.6,24.4967,1.06,17.21,프로파일,1.03,정배열,69.6,0.09,30,24.32,-1.14
2026-09-09T19:33:02.972382+00:00,MU,1027.62,1025.2038,1.18,3.67,이동평균,,정배열,64.5,,30,1027.83,0.02
2026-09-10T01:07:07.376382+00:00,114800,998.0,988.1389,1.62,7.47,프로파일,-1.9,정배열,64.2,-0.36,15,1001.0,0.3
2026-09-10T01:07:07.376382+00:00,114800,998.0,988.1389,1.62,7.47,프로파일,-1.9,정배열,64.2,-0.36,30,1002.0,0.4
2026-09-10T01:07:07.376382+00:00,114800,998.0,988.1389,1.62,7.47,프로파일,-1.9,정배열,64.2,-0.36,60,996.0,-0.2
2026-09-10T02:15:15.432902+00:00,000660,1848000.0,1844691.7541,1.25,2.62,프로파일,,정배열,70.9,,15,1845000.0,-0.16
2026-09-10T02:15:15.432902+00:00,000660,1848000.0,1844691.7541,1.25,2.62,프로파일,,정배열,70.9,,30,1854000.0,0.32
2026-09-10T02:44:06.685566+00:00,000660,1855000.0,1845098.2834,1.56,2.97,프로파일,,정배열,69.6,,15,1849000.0,-0.32
2026-09-10T02:44:06.685566+00:00,000660,1855000.0,1845098.2834,1.56,2.97,프로파일,,정배열,69.6,,30,1854000.0,-0.05
2026-09-10T02:15:15.432902+00:00,000660,1848000.0,1844691.7541,1.25,2.62,프로파일,,정배열,70.9,,60,1852000.0,0.22
2026-09-10T02:44:06.685566+00:00,000660,1855000.0,1845098.2834,1.56,2.97,프로파일,,정배열,69.6,,60,1844000.0,-0.59
2026-09-10T13:37:08.426003+00:00,OKLO,41.455,41.1206,0.88,2.11,프로파일,,역배열,57.3,,15,41.0775,-0.91
2026-09-10T13:37:08.426003+00:00,OKLO,41.455,41.1206,0.88,2.11,프로파일,,역배열,57.3,,30,40.9,-1.34
2026-09-10T13:37:08.426003+00:00,OKLO,41.455,41.1206,0.88,2.11,프로파일,,역배열,57.3,,60,41.54,0.21
2026-09-15T14:09:11.267782+00:00,MU,941.0,935.848,1.18,2.14,이동평균,,정배열,58.9,,15,940.47,-0.06
2026-09-15T14:09:11.267782+00:00,MU,941.0,935.848,1.18,2.14,이동평균,,정배열,58.9,,30,935.2,-0.62
2026-09-15T14:24:27.090311+00:00,RKLB,64.06,64.1298,0.76,2.12,이동평균,,혼조,66.4,,15,63.36,-1.09
2026-09-15T14:24:27.090311+00:00,RKLB,64.06,64.1298,0.76,2.12,이동평균,,혼조,66.4,,30,62.26,-2.81
2026-09-15T14:09:11.267782+00:00,MU,941.0,935.848,1.18,2.14,이동평균,,정배열,58.9,,60,931.15,-1.05
2026-09-15T14:24:27.090311+00:00,RKLB,64.06,64.1298,0.76,2.12,이동평균,,혼조,66.4,,60,62.4,-2.59
2026-09-15T16:32:20.417283+00:00,OKLO,36.12,35.8216,1.03,7.37,프로파일,,정배열,79.1,,15,36.13,0.03
2026-09-15T16:32:20.417283+00:00,OKLO,36.12,35.8216,1.03,7.37,프로파일,,정배열,79.1,,30,36.28,0.44
2026-09-15T16:32:20.417283+00:00,OKLO,36.12,35.8216,1.03,7.37,프로파일,,정배열,79.1,,60,36.29,0.47
